id,label
1,cat
2,airplane
3,automobile
4,ship
5,bird
6,cat
7,airplane
8,dog
9,horse
10,dog
11,bird
12,cat
13,deer
14,cat
15,dog
16,airplane
17,deer
18,deer
19,airplane
20,dog
21,airplane
22,ship
23,frog
24,automobile
25,horse
26,truck
27,automobile
28,dog
29,cat
30,cat
31,cat
32,horse
33,dog
34,cat
35,cat
36,dog
37,cat
38,dog
39,ship
40,dog
41,frog
42,bird
43,truck
44,deer
45,truck
46,automobile
47,deer
48,bird
49,airplane
50,truck
51,bird
52,horse
53,bird
54,frog
55,ship
56,ship
57,cat
58,ship
59,bird
60,cat
61,deer
62,cat
63,deer
64,frog
65,truck
66,truck
67,bird
68,horse
69,bird
70,bird
71,truck
72,bird
73,truck
74,deer
75,dog
76,truck
77,airplane
78,cat
79,horse
80,dog
81,frog
82,deer
83,airplane
84,deer
85,deer
86,cat
87,dog
88,bird
89,deer
90,truck
91,automobile
92,airplane
93,frog
94,horse
95,automobile
96,frog
97,deer
98,bird
99,truck
100,bird
101,deer
102,airplane
103,dog
104,cat
105,ship
106,bird
107,automobile
108,bird
109,frog
110,frog
111,horse
112,bird
113,deer
114,airplane
115,truck
116,horse
117,cat
118,horse
119,airplane
120,frog
121,deer
122,truck
123,horse
124,bird
125,ship
126,cat
127,airplane
128,dog
129,deer
130,horse
131,truck
132,cat
133,bird
134,frog
135,dog
136,cat
137,frog
138,frog
139,horse
140,truck
141,frog
142,dog
143,truck
144,bird
145,frog
146,truck
147,truck
148,ship
149,cat
150,frog
151,truck
152,dog
153,dog
154,truck
155,truck
156,horse
157,bird
158,ship
159,truck
160,deer
161,cat
162,frog
163,ship
164,cat
165,frog
166,automobile
167,frog
168,dog
169,cat
170,frog
171,bird
172,frog
173,automobile
174,frog
175,bird
176,airplane
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,horse
185,ship
186,dog
187,ship
188,truck
189,cat
190,bird
191,automobile
192,ship
193,airplane
194,bird
195,truck
196,deer
197,automobile
198,cat
199,ship
200,bird
201,ship
202,deer
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,cat
209,dog
210,frog
211,automobile
212,deer
213,dog
214,frog
215,cat
216,truck
217,dog
218,bird
219,dog
220,automobile
221,frog
222,truck
223,dog
224,deer
225,cat
226,truck
227,horse
228,cat
229,horse
230,horse
231,airplane
232,bird
233,dog
234,cat
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,automobile
242,cat
243,bird
244,cat
245,cat
246,deer
247,frog
